DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CANTIDAD;NOMBRE_CICLOVIA;TRAMO;DISTRITO_CICLOVIA;TIPO_VIA;LONGITUD_KM;FECHA_CORTE
LIMA;LIMA;LIMA;150101;C-01;Ciclovía Av. Carlos Izaguirre - Los Olivos;Entre Av.Universitaria y Av. Panamericana Norte;LOS OLIVOS;METROPOLITANA;1.80;20231123
LIMA;LIMA;LIMA;150101;C-01;Ciclovía Av. Carlos Izaguirre - Independencia;Entre Av. Panamericana Norte y Av. Tupac Amaru;INDEPENDENCIA;METROPOLITANA;0.95;20231123
LIMA;LIMA;LIMA;150101;C-02;Ciclovía Av. Los Alisos - Los Olivos;Entre Av. Panamericana Norte y Av. Universitaria;LOS OLIVOS;METROPOLITANA;1.38;20231123
LIMA;LIMA;LIMA;150101;C-02;Ciclovía Av. Los Alisos - San Martín de Porres;Entre Av. Universitaria y Av. Canta Callao;SAN MARTIN DE PORRES;METROPOLITANA;1.97;20231123
LIMA;LIMA;LIMA;150101;C-02;Ciclovía Av. Los Alisos - Independencia;Entre Av. Tupac Amarú y Av. Panamericana Norte;INDEPENDENCIA;LOCAL;0.42;20231123
LIMA;LIMA;LIMA;150101;C-03;Ciclovía Av. Tomas Valle - Los Olivos    ;Entre Av. Panamericana Norte y Av. Universitaria;LOS OLIVOS;METROPOLITANA;0.25;20231123
LIMA;LIMA;LIMA;150101;C-03;Ciclovía Av. Tomas Valle - Independencia;Entre Av. Tupac Amarú y Av. Panamericana Norte;INDEPENDENCIA;METROPOLITANA;0.90;20231123
LIMA;LIMA;LIMA;150101;C-03;Ciclovía Av. Tomas Valle - San Martín de Porres;Entre Av. Universitaria y Av. Angelica Gamarra;SAN MARTIN DE PORRES;METROPOLITANA;2.99;20231123
LIMA;LIMA;LIMA;150101;C-04;Ciclovía Av. Universitaria - Los Olivos;Entre Av. Metropolitana y Av. Los Alisos;LOS OLIVOS;METROPOLITANA;3.30;20231123
LIMA;LIMA;LIMA;150101;C-04;Ciclovía Av. Universitaria - San Martín de Porres;Entre Av. Los Alisos y Av. Morales Duarez;SAN MARTIN DE PORRES;METROPOLITANA;6.30;20231123
